,icao24,Çağrı İşareti,Kaynak Ülke,Zaman Pozisyonu,Son Temas,Long,Lat,Baro İrtifası,Yerde,Hız,Gerçek İz,Dikey Hız,Sensörler,Geo Yükseklik,Squawk,Spi,Konum Kaynağı
0,7c35e7,KXL     ,Australia,1714025360,1714025360,150.8523,-31.0833,396.24,false,53.5,313.05,-0.98,Veri Yok,441.96,4405,false,0
1,88044a,AIQ377  ,Thailand,1714025411,1714025411,102.2897,2.7496,9966.96,false,240.47,321.34,3.25,Veri Yok,10668.0,Veri Yok,false,0
2,88044f,AIQ3230 ,Thailand,1714025383,1714025383,100.6092,13.9266,Veri Yok,true,0,118.12,Veri Yok,Veri Yok,Veri Yok,Veri Yok,false,0
3,7c6b2d,JST787  ,Australia,1714025412,1714025412,153.3597,-26.9292,4328.16,false,180.63,181.47,13.98,Veri Yok,4488.18,Veri Yok,false,0
4,4b1812,SWR2121 ,Switzerland,1714025411,1714025411,2.8797,44.3318,11582.4,false,236.14,56.55,-0.33,Veri Yok,11490.96,1000,false,0
5,ade18c,AAL2176 ,United States,1714025409,1714025409,-111.9941,40.7773,Veri Yok,true,0,174.38,Veri Yok,Veri Yok,Veri Yok,Veri Yok,false,0
6,88044d,AIQ3375 ,Thailand,1714025411,1714025411,101.8843,14.6442,8648.7,false,215.78,257.19,-12.35,Veri Yok,9304.02,Veri Yok,false,0
7,7c6b41,JST707  ,Australia,1714025412,1714025412,146.13,-40.5285,10668.0,false,220.64,160.38,-0.33,Veri Yok,10782.3,3666,false,0
8,7c6b40,JST521  ,Australia,1714025410,1714025410,151.176,-33.9343,Veri Yok,true,0,171.56,Veri Yok,Veri Yok,Veri Yok,Veri Yok,false,0
9,880459,,Thailand,1714025384,1714025385,102.9045,14.9631,10363.2,false,228.67,254.34,0.0,Veri Yok,11094.72,Veri Yok,false,0
10,801645,AIC413  ,India,1714025411,1714025411,76.6494,28.7303,4251.96,false,171.54,298.87,14.96,Veri Yok,4396.74,Veri Yok,false,0
11,842194,ADO78   ,Japan,1714025411,1714025411,140.2796,36.3674,4015.74,false,194.62,187.59,-5.2,Veri Yok,4053.84,Veri Yok,false,0
12,440da3,OEELF   ,Austria,1714025411,1714025412,14.4148,51.8047,4373.88,false,146.49,343.47,-4.23,Veri Yok,4198.62,5152,false,0
